,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
1,LAMBRECHTS,TONGEREN,168,199586907,36544678,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 12 39 80 80,lambrechts.tongeren@skynet.be,BE0439130282,15573211,0439 130 282,Luikersteenweg 214,3700,www.lambrechts.be,"Niet-gespecialiseerde groothandel in niet-diepgevroren voedingsmiddelen, dranken en genotmiddelen",Niet beursgenoteerd
2,LIMELCO,ZONHOVEN,152,117555373,40205002,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 19 64 98,info@limelco.be,BE0449994084,15051890,0449 994 084,Genkerbaan 71-75,3520,www.limelco.be,Zuivelfabrieken en kaasmakerijen,Niet beursgenoteerd
3,DEMAROL BELGIE,LUMMEN,21,117355595,13921836,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 474 691 797,,BE0878684002,2375253,0878 684 002,Lindekensveld 5 b.1.1,3560,,"Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten",Niet beursgenoteerd
4,COVETRUS,PAAL,66,116568821,25409104,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 45 07 17,verdifarm@verdifarm.be,BE0429026446,7500552,0429 026 446,Industrieweg 135 b.1,3583,www.verdifarm.be,Groothandel in farmaceutische producten,Niet beursgenoteerd
5,GROEP JAM,HASSELT,20,110021732,34725962,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 27 90 00,jam@hermans-hasselt.mercedes-benz.be,BE0476043831,2271772,0476 043 831,Voogdijstraat 25,3500,www.groepjam.be,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
6,BETCENTER GROUP,HASSELT,137,109078386,24046223,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 76 32 30,,BE0877184856,11881286,0877 184 856,Leopoldplein 16 b.2,3500,www.betcentershops.be,Loterijen en kansspelen,Niet beursgenoteerd
7,BOUTS,HASSELT,29,108232239,14761004,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 22 69 01,dispatch@bouts-petroleumproducten.be,BE0406781475,3130541,0406 781 475,Scheepvaartkaai 15,3500,www.boutsnv.be,"Groothandel in vaste, vloeibare en gasvormige brandstoffen en aanverwante producten",Niet beursgenoteerd
8,PRIK & TIK,LOMMEL,10,107906753,15734850,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 80 88 20,info@prikentik.com,BE0425835245,1050771,0425 835 245,Gerard Mercatorstraat 85,3920,www.prikentik-uw-drankenspecialist.be,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
9,STERNOTTE CHARLES,HASSELT,30,99102706,30871758,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 22 21 29,,BE0421502810,7129682,0421 502 810,Zeilstraat 2,3500,,Groothandel in metalen en metaalertsen,Niet beursgenoteerd
10,MOVE INTERMODAL,GENK,43,97642580,36904404,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 89 24 29 00,info@move-intermodal.com,BE0836403977,6317624,0836 403 977,Kolenhavenstraat 6 b.21,3600,www.move-intermodal.com,Goederenvervoer per spoor,Niet beursgenoteerd
