,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
1,GOLD-COMMODITIES -FOREX,ALSEMBERG,7,619384182,15421555,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 669 30 30,,BE0832602171,1406031,0832 602 171,Winderickxplein 3 b.2,1652,,Groothandel in metalen en metaalertsen,Niet beursgenoteerd
2,DIAGEO BELGIUM,ZELLIK,39,189299952,33017356,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,info@udv.com,BE0402891577,18756212,0402 891 577,Doornveld 150,1731,www.diageo.com,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
3,WESTON,AARSCHOT,17,168367243,26009834,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 30 88 00,,BE0876344520,6659607,0876 344 520,Gaston Geenslaan 80,3200,www.weston.be,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
4,HAAS AUTOMATION EUROPE,NOSSEGEM,22,140216139,39834202,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 522 99 05,,BE0473193219,8926382,0473 193 219,Mercuriusstraat 28,1930,int.haascnc.com,Groothandel in gereedschapswerktuigen,Niet beursgenoteerd
5,CARCONNEX,TIENEN,16,138327360,13153520,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 495 795 693,,BE0860353277,3319297,0860 353 277,Grijpenlaan 19,3300,,"Groothandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
6,VAILLANT,DROGENBOS,163,138294633,32423409,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 334 93 00,info@vaillant.be,BE0401874760,18703194,0401 874 760,Golden Hopestraat 15,1620,www.vaillant.be,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming,Niet beursgenoteerd
7,MMS ONLINE BELGIUM,ZELLIK,12,133342623,40090957,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 464 35 55,,BE0846855431,2392395,0846 855 431,Brusselsesteenweg 496 b.2,1731,,Detailhandel in elektrische huishoudapparaten in gespecialiseerde winkels,Niet beursgenoteerd
8,"TETRA PAK, BELGIUM",GROOT-BIJGAARDEN,66,122631285,22322475,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 467 68 11,info.be@tetrapak.com,BE0400704624,13901504,0400 704 624,Alfons Gossetlaan 28A,1702,www.tetrapak.nl,Verhuur en lease van andere machines en werktuigen en andere materiële goederen,Niet beursgenoteerd
9,VIESSMANN-BELGIUM,NOSSEGEM,157,114963686,27283891,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 15 63 47 07,info@viessmann.be,BE0402475962,23004539,0402 475 962,Hermesstraat 14,1930,www.viessmann.be,Groothandel in installatiemateriaal voor loodgieterswerk en verwarming,Niet beursgenoteerd
10,BIOGEN BELGIUM,DIEGEM,44,109602134,38083098,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 711 05 10,,BE0462285469,43422118,0462 285 469,Culliganlaan 2,1831,,Groothandel in farmaceutische producten,Niet beursgenoteerd
