"gemeenten","bevolkingsdichtheid (officieel per km2)|2022"
"Aalst",1130
"Aalter",245
"Aarschot",485
"Aartselaar",1326
"Affligem",751
"Alken",416
"Alveringem",62
"Anderlecht",6841
"Antwerpen",2597
"Anzegem",355
"Ardooie",263
"Arendonk",241
"As",373
"Asse",687
"Assenede",165
"Avelgem",465
"Baarle-Hertog",404
"Balen",315
"Beernem",220
"Beerse",492
"Beersel",856
"Begijnendijk",588
"Bekkevoort",173
"Beringen",601
"Berlaar",478
"Berlare",400
"Bertem",342
"Bever",118
"Beveren",324
"Bierbeek",264
"Bilzen",427
"Blankenberge",1073
"Bocholt",228
"Boechout",663
"Bonheiden",525
"Boom",2551
"Boortmeerbeek",691
"Borgloon",220
"Bornem",468
"Borsbeek",2877
"Boutersem",269
"Brakel",261
"Brasschaat",991
"Brecht",330
"Bredene",1275
"Bree",251
"Brugge",841
"Brussel",5706
"Buggenhout",575
"Damme",122
"De Haan",276
"De Panne",418
"De Pinte",621
"Deerlijk",728
"Deinze",346
"Denderleeuw",1498
"Dendermonde",820
"Dentergem",333
"Dessel",353
"Destelbergen",706
"Diepenbeek",465
"Diest",418
"Diksmuide",112
"Dilbeek",1063
"Dilsen-Stokkem",319
"Drogenbos",2312
"Duffel",786
"Edegem",2568
"Eeklo",715
"Elsene",13588
"Erpe-Mere",599
"Essen",407
"Etterbeek",15285
"Evere",8503
"Evergem",479
"Galmaarden",250
"Ganshoren",10376
"Gavere",418
"Geel",373
"Geetbets",175
"Genk",765
"Gent",1680
"Geraardsbergen",429
"Gingelom",151
"Gistel",283
"Glabbeek",198
"Gooik",234
"Grimbergen",997
"Grobbendonk",403
"Haacht",497
"Haaltert",621
"Halen",259
"Halle",918
"Ham",340
"Hamme",620
"Hamont-Achel",329
"Harelbeke",990
"Hasselt",774
"Hechtel-Eksel",166
"Heers",141
"Heist-op-den-Berg",503
"Hemiksem",2155
"Herent",685
"Herentals",593
"Herenthout",393
"Herk-de-Stad",296
"Herne",151
"Herselt",281
"Herstappe",59
"Herzele",386
"Heusden-Zolder",641
"Heuvelland",84
"Hoegaarden",200
"Hoeilaart",557
"Hoeselt",327
"Holsbeek",261
"Hooglede",262
"Hoogstraten",208
"Horebeke",180
"Houthalen-Helchteren",394
"Houthulst",183
"Hove",1381
"Huldenberg",251
"Hulshout",608
"Ichtegem",309
"Ieper",267
"Ingelmunster",688
"Izegem",1125
"Jabbeke",264
"Jette",10166
"Kalmthout",323
"Kampenhout",367
"Kapelle-op-den-Bos",625
"Kapellen",737
"Kaprijke",194
"Kasterlee",265
"Keerbergen",707
"Kinrooi",224
"Kluisbergen",222
"Knokke-Heist",534
"Koekelare",222
"Koekelberg",18542
"Koksijde",434
"Kontich",897
"Kortemark",231
"Kortenaken",160
"Kortenberg",590
"Kortessem",253
"Kortrijk",963
"Kraainem",2386
"Kruibeke",506
"Kruisem",222
"Kuurne",1382
"Laakdal",388
"Laarne",384
"Lanaken",444
"Landen",303
"Langemark-Poelkapelle",149
"Lebbeke",722
"Lede",637
"Ledegem",392
"Lendelede",437
"Lennik",299
"Leopoldsburg",714
"Leuven",1778
"Lichtervelde",345
"Liedekerke",1342
"Lier",748
"Lierde",254
"Lievegem",330
"Lille",280
"Linkebeek",1124
"Lint",1514
"Linter",197
"Lo-Reninge",51
"Lochristi",377
"Lokeren",626
"Lommel",336
"Londerzeel",524
"Lubbeek",326
"Lummen",283
"Maarkedal",138
"Maaseik",331
"Maasmechelen",513
"Machelen",1401
"Maldegem",255
"Malle",304
"Mechelen",1322
"Meerhout",281
"Meise",570
"Melle",775
"Menen",1025
"Merchtem",474
"Merelbeke",673
"Merksplas",195
"Mesen",295
"Meulebeke",373
"Middelkerke",250
"Moerbeke",176
"Mol",328
"Moorslede",321
"Mortsel",3364
"Nazareth",340
"Niel",1982
"Nieuwerkerken",312
"Nieuwpoort",345
"Nijlen",593
"Ninove",542
"Olen",544
"Oostende",1747
"Oosterzele",318
"Oostkamp",299
"Oostrozebeke",477
"Opwijk",744
"Oud-Heverlee",368
"Oud-Turnhout",368
"Oudenaarde",462
"Oudenburg",273
"Oudergem",3899
"Oudsbergen",203
"Overijse",575
"Peer",189
"Pelt",401
"Pepingen",125
"Pittem",196
"Poperinge",164
"Putte",523
"Puurs-Sint-Amands",535
"Ranst",443
