,Naam,Gemeente,"NACE BEL 2008,
primaire code","Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Turnover LY
dz EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",Ondernemingsnummer,Postcode,Adres,Telefoon,Web adres,E-mail adres
1.,BONAS COUZYN (ANTWERP),ANTWERPEN,46761,15,"603,286","7,101,143",0404 935 507,2018,Pelikaanstraat 62,+32 3 233 70 80,,diamondbrokers@bocouz.be
2.,MINERVA NWE,BRASSCHAAT,52290,10,"533,328","33,520,400",0412 527 142,2930,Ruiterijschool 1,+32 3 689 86 35,www.verbekebunkering.com,bunkers@verbekebunkering.be
3.,G&V SERVICESTATIONS,KUURNE,46710,22,"458,778","41,156,846",0461 054 460,8520,Harelbeeksestraat 120,+32 56 73 30 00,www.g-v.be,info@g-v.be
4.,UNITED BUNKERS,ANTWERPEN,46710,9,"347,228","27,267,677",0632 455 341,2030,Vosseschijnstraat,+32 3 540 09 00,www.united-bunkers.com,
5.,STEELINVEST,ANTWERPEN,70220,10,"300,607","38,806,182",0475 849 633,2000,Kattendijkdok-Westkaai 51B b.1201,+32 3 330 17 00,www.steelinvest.be,
6.,VOLCKAERT - SOETENS,LEDE,46350,36,"283,437","12,643,198",0453 957 723,9340,Grote Steenweg 41,+32 9 360 37 57,www.volckaert.be,
7.,VAN RAAK BENZINESTATIONS,WEELDE,47300,13,"230,551","22,355,684",0424 285 918,2381,Toekomststraat 1,+32 14 32 62 83,www.vanraak.be,
8.,DE BRANDT DAIRY INTERNATIONAL,DENDERMONDE,46331,9,"227,397","41,866,543",0400 282 475,9200,Hoogveld 89,+32 52 22 47 99,www.groupdebrandt.com,customerdesk@groupdebrandt.com
9.,LAMBRECHTS,TONGEREN,46392,168,"199,587","36,544,678",0439 130 282,3700,Luikersteenweg 214,+32 12 39 80 80,www.lambrechts.be,lambrechts.tongeren@skynet.be
10.,NOORDVLEES VAN GOOL,KALMTHOUT,10110,151,"196,586","41,891,893",0408 196 685,2920,Bloemstraat 56,+32 3 666 70 80,,kalmthout@van-gool.be
11.,DIAGEO BELGIUM,ZELLIK,46349,39,"189,300","33,017,356",0402 891 577,1731,Doornveld 150,,www.diageo.com,info@udv.com
12.,ADM ANTWERP,ANTWERPEN,46332,51,"181,705","8,712,552",0442 696 518,2030,Rostockweg 17,+32 3 541 38 07,www.oilio.com,info@oilio.com
13.,GROEP DE BRAUWER,RUISELEDE,46231,13,"178,476","18,274,649",0423 512 985,8755,Bruggestraat 140A,+32 51 40 03 95,www.groepdebrauwer.be,debrauwer.groep@skynet.be
14.,VAN - O - BEL,SINT-ELOOIS-VIJVE,10120,100,"177,498","41,245,695",0405 452 575,8793,Transvaalstraat 35,+32 56 60 18 74,www.idnet.be,info@vanobel.be
15.,U-CAR SERVICES,ANTWERPEN,47300,25,"175,994","13,740,146",0849 473 045,2018,Brusselstraat 59 b.1,,www.ucarservices.be,
16.,WONDERAUTO,ZAVENTEM,45204,34,"175,612","28,744,541",0876 849 514,1930,Fabrieksstraat 61,+32 2 720 86 61,,
17.,SOLVUS,ANTWERPEN,78100,207,"174,566","32,439,771",0457 455 463,2000,Frankrijklei 101,+32 3 800 64 83,,
18.,BOLLORE LOGISTICS BELGIUM,ANTWERPEN,52290,136,"172,517","30,940,897",0408 195 103,2000,Italiëlei 124,+32 3 234 55 90,,sdvanr@sdv.com
19.,VDC & BO,GERAARDSBERGEN,46350,34,"170,733","11,159,294",0818 140 659,9500,Groteweg 475/A,+32 473 845 704,,
20.,SPECIAL FRUIT,MEER,46319,157,"168,841","21,985,206",0440 429 389,2321,Europastraat 36,+32 3 317 06 60,www.g-net.be,mail@specialfruit.be
21.,WESTON,AARSCHOT,45113,17,"168,367","26,009,834",0876 344 520,3200,Gaston Geenslaan 80,+32 16 30 88 00,www.weston.be,
